"timestamp","categoria","accion","detalles","resultados","duracion_ns","nota"
"2025-12-08 15:58:09","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-08 16:03:56","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-08 16:04:27","LOAD","Dataset oficial","archivo=pacientes_500.csv",500,0,""
"2025-12-08 16:08:59","LOAD","Dataset oficial","archivo=citas_100_casi_ordenadas.csv",100,0,""
"2025-12-08 16:10:38","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-08 16:24:58","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-08 17:34:20","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-08 17:34:41","SEARCH","Lineal por ID","id=CITA-001",1,903900,""
"2025-12-08 17:35:31","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-08 17:36:03","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-08 17:55:23","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-08 17:55:41","SEARCH","Centinela por ID","id=CITA-01",1,1208900,""
"2025-12-08 17:56:24","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-08 18:13:49","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-08 18:20:31","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-08 18:38:02","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-08 18:38:30","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-08 18:44:10","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-08 18:44:20","SEARCH","Lineal por ID","id=CITA-001",1,918800,""
"2025-12-08 18:44:43","SEARCH","First por id","id=CITA-001",1,747000,""
"2025-12-08 18:46:04","SEARCH","Binaria por ID","id=CITA-020",1,36300,""
"2025-12-08 18:54:39","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-08 18:56:13","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-08 18:57:50","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-08 18:58:07","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-08 18:58:09","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-08 19:00:32","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-08 19:01:26","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-08 19:01:53","LOAD","Dataset oficial","archivo=inventario_500_inverso.csv",500,0,""
"2025-12-08 19:04:05","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-08 19:04:37","SEARCH","SLL-findAll por id","id=",0,769100,""
"2025-12-08 19:04:52","SEARCH","SLL-findAll por id","id=CITA-001",1,183200,""
"2025-12-08 19:05:34","SEARCH","SLL-findAll por apellido","apellido=TORRES",7,229200,""
